HITId,short_file_name,vote,condition_num,workerid_hash
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_661308358836332336
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-3,33,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-2,22,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_5359977347968220107
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-2,27,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-2,22,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-2,26,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-2,33,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-1,28,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_8547942778457404125
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-3,22,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-3,33,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_1674665474726651467
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-3,33,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-3,22,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_14404015027151167494
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-2,6,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-2,26,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-2,12,w_4718226090970434892
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-3,22,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_7926638929308070486
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-2,6,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-2,27,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_17286802104979932303
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-2,22,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-2,33,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_4028835544532222951
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-2,26,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-2,6,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-2,37,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,0,33,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-2,27,w_1249673056374432947
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-1,6,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,1,27,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,3,28,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,3,22,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-1,37,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,3,26,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,1,33,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,1,12,w_13232282240959080322
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-2,6,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-2,26,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_5598498582093918219
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-2,22,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-2,33,w_7623384357994015849
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-1,28,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-3,26,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-2,27,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-3,33,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-3,22,w_8926309993467244877
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-2,27,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-3,6,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2133.wav,-1,33,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6622.wav,-1,22,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9428.wav,-2,28,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F9226.wav,-2,26,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F5C12.wav,-3,12,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-3,37,w_5948760839443309337
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2M2E06.wav,-2,6,w_794967185916891332
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F6B27.wav,-3,27,w_794967185916891332
3QD8LUVX515F5KAXTKJUYO0MBPPX5P,EE2F7537.wav,-2,37,w_794967185916891332
